# MLB 2027 schedule - all clubs, all game types
# source: https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2027-01-01&endDate=2027-12-31&gameType=R,E,S,D,L,F,W,A
# retrieved_utc: 2026-09-24T17:54:16Z
# raw_sha256: 47400a178ff91701f9a79c369a6f757807a4b94eb128d470e0185c49e10806e6
# games: 2900 (columns: date_local|start_utc|start_pt|start_et|time_tbd|game_type|away|home|away_id|home_id|venue|status|game_pk)
# time_tbd=true means the league has not published a first pitch; date_local is still official.
2027-02-23||TBD|TBD|true|S|New York Mets|St. Louis Cardinals|121|138|Roger Dean Chevrolet Stadium|Scheduled|868532
2027-02-23||TBD|TBD|true|S|New York Yankees|Tampa Bay Rays|147|139|Charlotte Sports Park|Scheduled|868533
2027-02-23||TBD|TBD|true|S|Philadelphia Phillies|Boston Red Sox|143|111|JetBlue Park|Scheduled|868542
2027-02-23||TBD|TBD|true|S|San Diego Padres|Texas Rangers|135|140|Surprise Stadium|Scheduled|868305
2027-02-24||TBD|TBD|true|S|Arizona Diamondbacks|Colorado Rockies|109|115|Salt River Fields at Talking Stick|Scheduled|868308
2027-02-24||TBD|TBD|true|S|Athletics|San Francisco Giants|133|137|Scottsdale Stadium|Scheduled|868313
2027-02-24||TBD|TBD|true|S|Boston Red Sox|Pittsburgh Pirates|111|134|LECOM Park|Scheduled|868541
2027-02-24||TBD|TBD|true|S|Chicago Cubs|Kansas City Royals|112|118|Surprise Stadium|Scheduled|868309
2027-02-24||TBD|TBD|true|S|Cincinnati Reds|Los Angeles Angels|113|108|Tempe Diablo Stadium|Scheduled|868310
2027-02-24||TBD|TBD|true|S|Detroit Tigers|Philadelphia Phillies|116|143|BayCare Ballpark|Scheduled|868540
2027-02-24||TBD|TBD|true|S|Kansas City Royals|San Diego Padres|118|135|Peoria Stadium|Scheduled|868301
2027-02-24||TBD|TBD|true|S|Los Angeles Dodgers|Cleveland Guardians|119|114|Goodyear Ballpark|Scheduled|868311
2027-02-24||TBD|TBD|true|S|New York Yankees|Atlanta Braves|147|144|CoolToday Park|Scheduled|868535
2027-02-24||TBD|TBD|true|S|Pittsburgh Pirates|New York Yankees|134|147|George M. Steinbrenner Field|Scheduled|868689
2027-02-24||TBD|TBD|true|S|Seattle Mariners|Milwaukee Brewers|136|158|American Family Fields of Phoenix|Scheduled|868312
2027-02-24||TBD|TBD|true|S|St. Louis Cardinals|Miami Marlins|138|146|Roger Dean Chevrolet Stadium|Scheduled|868537
2027-02-24||TBD|TBD|true|S|Tampa Bay Rays|Baltimore Orioles|139|110|Ed Smith Stadium|Scheduled|868536
2027-02-24||TBD|TBD|true|S|Texas Rangers|Chicago White Sox|140|145|Camelback Ranch|Scheduled|868297
2027-02-24||TBD|TBD|true|S|Toronto Blue Jays|Minnesota Twins|141|142|Lee Health Sports Complex|Scheduled|868538
2027-02-24||TBD|TBD|true|S|Washington Nationals|New York Mets|120|121|Clover Park|Scheduled|868539
2027-02-25||TBD|TBD|true|S|Arizona Diamondbacks|Cincinnati Reds|109|113|Goodyear Ballpark|Scheduled|868299
2027-02-25||TBD|TBD|true|S|Atlanta Braves|Detroit Tigers|144|116|Publix Field at Joker Marchant Stadium|Scheduled|868516
2027-02-25||TBD|TBD|true|S|Baltimore Orioles|Boston Red Sox|110|111|JetBlue Park|Scheduled|868528
2027-02-25||TBD|TBD|true|S|Chicago White Sox|Kansas City Royals|145|118|Surprise Stadium|Scheduled|868296
2027-02-25||TBD|TBD|true|S|Cleveland Guardians|Seattle Mariners|114|136|Peoria Stadium|Scheduled|868300
2027-02-25||TBD|TBD|true|S|Los Angeles Angels|Chicago Cubs|108|112|Sloan Park|Scheduled|868298
2027-02-25||TBD|TBD|true|S|Miami Marlins|New York Yankees|146|147|George M. Steinbrenner Field|Scheduled|868526
2027-02-25||TBD|TBD|true|S|Milwaukee Brewers|Athletics|158|133|Hohokam Stadium|Scheduled|868295
2027-02-25||TBD|TBD|true|S|Minnesota Twins|Tampa Bay Rays|142|139|Charlotte Sports Park|Scheduled|868523
2027-02-25||TBD|TBD|true|S|New York Mets|Houston Astros|121|117|CACTI Park of the Palm Beaches|Scheduled|868527
2027-02-25||TBD|TBD|true|S|Pittsburgh Pirates|Philadelphia Phillies|134|143|BayCare Ballpark|Scheduled|868525
2027-02-25||TBD|TBD|true|S|San Diego Padres|Colorado Rockies|135|115|Salt River Fields at Talking Stick|Scheduled|868288
2027-02-25||TBD|TBD|true|S|San Francisco Giants|Los Angeles Dodgers|137|119|Camelback Ranch|Scheduled|868287
2027-02-25||TBD|TBD|true|S|Texas Rangers|Los Angeles Angels|140|108|Tempe Diablo Stadium|Scheduled|868293
2027-02-25||TBD|TBD|true|S|Washington Nationals|St. Louis Cardinals|120|138|Roger Dean Chevrolet Stadium|Scheduled|868524
2027-02-26||TBD|TBD|true|S|Baltimore Orioles|Pittsburgh Pirates|110|134|LECOM Park|Scheduled|868518
2027-02-26||TBD|TBD|true|S|Boston Red Sox|Minnesota Twins|111|142|Lee Health Sports Complex|Scheduled|868520
2027-02-26||TBD|TBD|true|S|Chicago Cubs|San Diego Padres|112|135|Peoria Stadium|Scheduled|868292
2027-02-26||TBD|TBD|true|S|Cleveland Guardians|San Francisco Giants|114|137|Scottsdale Stadium|Scheduled|868291
2027-02-26||TBD|TBD|true|S|Colorado Rockies|Cincinnati Reds|115|113|Goodyear Ballpark|Scheduled|868290
2027-02-26||TBD|TBD|true|S|Detroit Tigers|Toronto Blue Jays|116|141|TD Ballpark|Scheduled|868509
2027-02-26||TBD|TBD|true|S|Houston Astros|St. Louis Cardinals|117|138|Roger Dean Chevrolet Stadium|Scheduled|868517
2027-02-26||TBD|TBD|true|S|Kansas City Royals|Milwaukee Brewers|118|158|American Family Fields of Phoenix|Scheduled|868289
2027-02-26||TBD|TBD|true|S|Los Angeles Angels|Arizona Diamondbacks|108|109|Salt River Fields at Talking Stick|Scheduled|868294
2027-02-26||TBD|TBD|true|S|Los Angeles Dodgers|Athletics|119|133|Hohokam Stadium|Scheduled|868286
2027-02-26||TBD|TBD|true|S|Miami Marlins|Detroit Tigers|146|116|Publix Field at Joker Marchant Stadium|Scheduled|868521
2027-02-26||TBD|TBD|true|S|New York Mets|Washington Nationals|121|120|CACTI Park of the Palm Beaches|Scheduled|868510
2027-02-26||TBD|TBD|true|S|Philadelphia Phillies|New York Yankees|143|147|George M. Steinbrenner Field|Scheduled|868519
2027-02-26||TBD|TBD|true|S|San Diego Padres|Chicago White Sox|135|145|Camelback Ranch|Scheduled|868285
2027-02-26||TBD|TBD|true|S|Seattle Mariners|Texas Rangers|136|140|Surprise Stadium|Scheduled|868284
2027-02-26||TBD|TBD|true|S|Tampa Bay Rays|Atlanta Braves|139|144|CoolToday Park|Scheduled|868522
2027-02-27||TBD|TBD|true|S|Athletics|Los Angeles Angels|133|108|Tempe Diablo Stadium|Scheduled|868279
2027-02-27||TBD|TBD|true|S|Atlanta Braves|Boston Red Sox|144|111|JetBlue Park|Scheduled|868507
2027-02-27||TBD|TBD|true|S|Cincinnati Reds|Seattle Mariners|113|136|Peoria Stadium|Scheduled|868283
2027-02-27||TBD|TBD|true|S|Cleveland Guardians|Chicago White Sox|114|145|Camelback Ranch|Scheduled|868282
2027-02-27||TBD|TBD|true|S|Colorado Rockies|Chicago Cubs|115|112|Sloan Park|Scheduled|868281
2027-02-27||TBD|TBD|true|S|Detroit Tigers|Baltimore Orioles|116|110|Ed Smith Stadium|Scheduled|868508
2027-02-27||TBD|TBD|true|S|Houston Astros|Miami Marlins|117|146|Roger Dean Chevrolet Stadium|Scheduled|868505
2027-02-27||TBD|TBD|true|S|Los Angeles Dodgers|Milwaukee Brewers|119|158|American Family Fields of Phoenix|Scheduled|868280
2027-02-27||TBD|TBD|true|S|Minnesota Twins|Philadelphia Phillies|142|143|BayCare Ballpark|Scheduled|868503
2027-02-27||TBD|TBD|true|S|New York Yankees|Toronto Blue Jays|147|141|TD Ballpark|Scheduled|868514
